group	variants	groupName	groupMembers	variants_alias
43	B.1.1.529.2.86.1.1.11.1.3.1.1.21.1	MC.21.1	B.1.1.529.2.86.1.1.11.1.3.1.1.21.1	MC.21.1
44	B.1.1.529.2.86.1.1.11.1.3.2	KP.3.2	B.1.1.529.2.86.1.1.11.1.3.2	KP.3.2
45	B.1.1.529.2.86.1.1.11.1.3.3	KP.3.3	B.1.1.529.2.86.1.1.11.1.3.3	KP.3.3
46	B.1.1.529.2.86.1.1.11.1.3.3.5	KP.3.3.5	B.1.1.529.2.86.1.1.11.1.3.3.5	KP.3.3.5
47	B.1.1.529.2.86.1.1.13.1.1	KS.1	B.1.1.529.2.86.1.1.13.1.1	KS.1
48	B.1.1.529.2.86.1.1.16.1.7	LF.7	B.1.1.529.2.86.1.1.16.1.7	LF.7
49	B.1.1.529.2.86.1.1.16.1.7.6.2	LF.7.6.2	B.1.1.529.2.86.1.1.16.1.7.6.2	LF.7.6.2
50	B.1.1.529.2.86.1.1.16.1.7.7	LF.7.7	B.1.1.529.2.86.1.1.16.1.7.7	LF.7.7
51	B.1.1.529.2.86.1.1.16.1.7.7.1	LF.7.7.1	B.1.1.529.2.86.1.1.16.1.7.7.1	LF.7.7.1
52	B.1.1.529.2.86.1.1.16.1.7.7.2	LF.7.7.2	B.1.1.529.2.86.1.1.16.1.7.7.2	LF.7.7.2
53	B.1.1.529.2.86.1.1.16.1.7.9	LF.7.9	B.1.1.529.2.86.1.1.16.1.7.9	LF.7.9
54	B.1.1.529.2.86.1.1.4	JN.1.4	B.1.1.529.2.86.1.1.4	JN.1.4
55	B.1.1.529.2.86.1.1.4.5	JN.1.4.5	B.1.1.529.2.86.1.1.4.5	JN.1.4.5
56	B.1.1.529.2.86.1.1.49.1.1	MB.1	B.1.1.529.2.86.1.1.49.1.1	MB.1
57	B.1.1.529.2.86.1.1.7	JN.1.7	B.1.1.529.2.86.1.1.7	JN.1.7
58	B.1.1.529.2.86.1.1.7.1	JN.1.7.1	B.1.1.529.2.86.1.1.7.1	JN.1.7.1
59	B.1.1.529.2.86.1.1.9.2.1	LB.1	B.1.1.529.2.86.1.1.9.2.1	LB.1
60	B.1.1.529.2.86.1.1.9.2.1.3.1	LB.1.3.1	B.1.1.529.2.86.1.1.9.2.1.3.1	LB.1.3.1
61	B.1.1.529.2.86.1.1.9.2.1.3.1.3	NL.3	B.1.1.529.2.86.1.1.9.2.1.3.1.3	NL.3
62	B.1.1.529.2.86.1.1.9.2.1.3.1.6	NL.6	B.1.1.529.2.86.1.1.9.2.1.3.1.6	NL.6
63	B.1.1.529.4	BA.4	B.1.1.529.4	BA.4
64	B.1.1.529.5	BA.5	B.1.1.529.5	BA.5
65	B.1.1.529.5.1	BA.5.1	B.1.1.529.5.1	BA.5.1
66	B.1.1.529.5.2	BA.5.2	B.1.1.529.5.2	BA.5.2
67	B.1.1.529.5.2.1.7	BF.7	B.1.1.529.5.2.1.7	BF.7
68	B.1.1.529.5.3	BA.5.3	B.1.1.529.5.3	BA.5.3
69	B.1.1.529.5.3.1.1	BE.1	B.1.1.529.5.3.1.1	BE.1
70	B.1.1.529.5.3.1.1.1.1.1	BQ.1	B.1.1.529.5.3.1.1.1.1.1	BQ.1
71	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
72	B.1.1.7.1	Q.1	B.1.1.7.1	Q.1
73	B.1.160	B.1.160	B.1.160	B.1.160
74	B.1.177	B.1.177	B.1.177	B.1.177
75	B.1.351	B.1.351	B.1.351	B.1.351
76	B.1.427	B.1.427	B.1.427	B.1.427
77	B.1.525	B.1.525	B.1.525	B.1.525
78	B.1.526	B.1.526	B.1.526	B.1.526
79	B.1.616	B.1.616	B.1.616	B.1.616
80	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
81	B.1.617.2.122	AY.122	B.1.617.2.122	AY.122
82	B.1.617.2.4	AY.4	B.1.617.2.4	AY.4
83	B.1.617.2.4.2	AY.4.2	B.1.617.2.4.2	AY.4.2
84	B.1.617.2.4.5	AY.4.5	B.1.617.2.4.5	AY.4.5
85	B.1.617.2.43.9	AY.43.9	B.1.617.2.43.9	AY.43.9
86	B.1.621	B.1.621	B.1.621	B.1.621
87	XAK	XAK	XAK	XAK
88	XBB	XBB	XBB	XBB
89	XBB.1	XBB.1	XBB.1	XBB.1
90	XBB.1.16	XBB.1.16	XBB.1.16	XBB.1.16
91	XBB.1.18.1.1	FE.1	XBB.1.18.1.1	FE.1
92	XBB.1.5	XBB.1.5	XBB.1.5	XBB.1.5
93	XBB.1.9	XBB.1.9	XBB.1.9	XBB.1.9
94	XBB.1.9.1.1.5	FL.1.5	XBB.1.9.1.1.5	FL.1.5
95	XBB.1.9.2	XBB.1.9.2	XBB.1.9.2	XBB.1.9.2
96	XBB.1.9.2.10	EG.10	XBB.1.9.2.10	EG.10
97	XBB.1.9.2.5	EG.5	XBB.1.9.2.5	EG.5
98	XBB.1.9.2.5.1	EG.5.1	XBB.1.9.2.5.1	EG.5.1
99	XBB.1.9.2.5.1.1.3	HK.3	XBB.1.9.2.5.1.1.3	HK.3
100	XBC	XBC	XBC	XBC
101	XDK.1	XDK.1	XDK.1	XDK.1
102	XDV.1.5.1.1.8.1	NB.1.8.1	XDV.1.5.1.1.8.1	NB.1.8.1
103	XEC	XEC	XEC	XEC
104	XEC.11.1	XEC.11.1	XEC.11.1	XEC.11.1
105	XEC.2	XEC.2	XEC.2	XEC.2
106	XEC.2.2	XEC.2.2	XEC.2.2	XEC.2.2
107	XEC.4	XEC.4	XEC.4	XEC.4
108	XEC.8	XEC.8	XEC.8	XEC.8
109	XEK	XEK	XEK	XEK
110	XFG	XFG	XFG	XFG
